Index,Word,log freq,nr. of tokens,tokens,word score
36,amateur,8.395251520610994,2,am_ateur,-16.98740005493164
37,ambassador,8.674880467251832,2,amb_assador,-17.495872497558594
38,amused,7.080867896690782,2,am_used,-20.885231018066406
39,analyst,8.111928063310739,2,an_alyst,-19.527023315429688
40,anchorman,5.673323267171493,2,anch_orman,-21.96282958984375
41,announcer,6.709304340258298,3,ann_oun_cer,-17.559999465942383
42,annoyed,6.905753276311464,3,ann_oy_ed,-18.88413619995117
43,antagonized,6.285998094508865,3,ant_agon_ized,-26.556495666503903
44,anthem,8.892061625546935,2,ant_hem,-21.225482940673828
45,anthropologist,7.9355873855892,2,anthrop_ologist,-20.59524917602539
46,apartment,8.76201995356159,2,ap_artment,-18.228286743164062
47,applauded,7.072421900537371,4,app_l_aud_ed,-21.25278091430664
48,appointment,9.70069794710231,2,app_ointment,-18.816261291503903
49,appraiser,7.611842399580417,3,app_ra_iser,-21.035261154174805
50,apprehended,7.66105638236183,3,app_rehend_ed,-22.283079147338867
51,apprentice,9.086249986745132,2,app_rentice,-18.979570388793945
52,approached,7.601901959875166,2,appro_ached,-20.399677276611328
53,approved,9.25167423546916,1,approved,-14.608932495117188
54,archaeologist,7.461640392208575,3,arch_ae_ologist,-19.264949798583984
55,architect,10.136383395293016,2,arch_itect,-15.58829116821289
56,archivist,7.776115477098742,2,arch_ivist,-19.794448852539062
